epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.003654289059340954,11.656156539916992,0.0036551731172949076,1.7069921493530273,0.0011083754943683743
0,,1,0.002661758568137884,,,,,
,0.001,2,,,,,,
1,,3,,0.003413379192352295,10.88772201538086,0.003413858124986291,1.6895689964294434,0.0009101370233111084
1,,3,0.0020765101071447134,,,,,
,0.001,4,,,,,,
2,,5,,0.003017427632585168,9.624748229980469,0.0030179026070982218,1.655836820602417,0.0008017259533517063
2,,5,0.0017718847375363111,,,,,
