epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0018502413295209408,5.901750564575195,0.0018516150303184986,1.4933658838272095,0.0013338937424123287
0,,1,0.0035527958534657955,,,,,
,0.001,2,,,,,,
1,,3,,0.001106642885133624,3.5298807621002197,0.0011094609508290887,1.2751438617706299,0.000951305206399411
1,,3,0.0031629649456590414,,,,,
,0.001,4,,,,,,
2,,5,,0.0005825459957122803,1.8581584692001343,0.0005877343355678022,0.95884108543396,0.0007327744970098138
2,,5,0.0027677323669195175,,,,,
