Date,Open,High,Low,Close,Volume
2025-04-01,23341.099609375,23565.150390625,23136.400390625,23165.69921875,314300
2025-04-02,23192.599609375,23350.0,23158.44921875,23332.349609375,341000
2025-04-03,23150.30078125,23306.5,23145.80078125,23250.099609375,283200
2025-04-04,23190.400390625,23214.69921875,22857.44921875,22904.44921875,466800
2025-04-07,21758.400390625,22254.0,21743.650390625,22161.599609375,647100
2025-04-08,22446.75,22697.19921875,22270.849609375,22535.849609375,468300
2025-04-09,22460.30078125,22468.69921875,22353.25,22399.150390625,383800
2025-04-11,22695.400390625,22923.900390625,22695.400390625,22828.55078125,402200
2025-04-15,23368.349609375,23368.349609375,23207.0,23328.55078125,388300
2025-04-16,23344.099609375,23452.19921875,23273.05078125,23437.19921875,348400
2025-04-17,23401.849609375,23872.349609375,23298.55078125,23851.650390625,505300
2025-04-21,23949.150390625,24189.55078125,23903.650390625,24125.55078125,406100
2025-04-22,24185.400390625,24242.599609375,24072.0,24167.25,440900
2025-04-23,24357.599609375,24359.30078125,24119.94921875,24328.94921875,415000
2025-04-24,24277.900390625,24347.849609375,24216.150390625,24246.69921875,358800
2025-04-25,24289.0,24365.44921875,23847.849609375,24039.349609375,387700
2025-04-28,24070.25,24355.099609375,24054.05078125,24328.5,320500
2025-04-29,24370.69921875,24457.650390625,24290.75,24335.94921875,357600
2025-04-30,24342.05078125,24396.150390625,24198.75,24334.19921875,424500
2025-05-02,24311.900390625,24589.150390625,24238.5,24346.69921875,421100
2025-05-05,24419.5,24526.400390625,24400.650390625,24461.150390625,291500
2025-05-06,24500.75,24509.650390625,24331.80078125,24379.599609375,302400
2025-05-07,24233.30078125,24449.599609375,24220.0,24414.400390625,330100
2025-05-08,24431.5,24447.25,24150.19921875,24273.80078125,411400
2025-05-09,23935.75,24164.25,23935.75,24008.0,335600
2025-05-12,24420.099609375,24944.80078125,24378.849609375,24924.69921875,368700
2025-05-13,24864.05078125,24973.80078125,24547.5,24578.349609375,423000
2025-05-14,24613.80078125,24767.55078125,24535.55078125,24666.900390625,345500
2025-05-15,24694.44921875,25116.25,24494.44921875,25062.099609375,500800
2025-05-16,25064.650390625,25070.0,24953.05078125,25019.80078125,432700
2025-05-19,25005.349609375,25062.94921875,24916.650390625,24945.44921875,255300
2025-05-20,24996.19921875,25010.349609375,24669.69921875,24683.900390625,414800
2025-05-21,24744.25,24946.19921875,24685.349609375,24813.44921875,332700
2025-05-22,24733.94921875,24737.5,24462.400390625,24609.69921875,403300
2025-05-23,24639.5,24909.05078125,24614.05078125,24853.150390625,270500
2025-05-26,24919.349609375,25079.19921875,24900.5,25001.150390625,302800
2025-05-27,24956.650390625,25062.900390625,24704.099609375,24826.19921875,525700
2025-05-28,24832.5,24864.25,24737.05078125,24752.44921875,684400
2025-05-29,24825.099609375,24892.599609375,24677.30078125,24833.599609375,345400
2025-05-30,24812.599609375,24863.94921875,24717.400390625,24750.69921875,853900
2025-06-02,24669.69921875,24754.400390625,24526.150390625,24716.599609375,311100
2025-06-03,24786.30078125,24845.099609375,24502.150390625,24542.5,349300
2025-06-04,24560.44921875,24644.25,24530.44921875,24620.19921875,280900
2025-06-05,24691.19921875,24899.849609375,24613.099609375,24750.900390625,388400
2025-06-06,24748.69921875,25029.5,24671.44921875,25003.05078125,335600
