Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-31 00:00:00+05:30,24642.25,24956.5,24635.0,24768.349609375,346300,0.0,0.0
2025-08-01 00:00:00+05:30,24734.900390625,24784.150390625,24535.05078125,24565.349609375,263400,0.0,0.0
2025-08-04 00:00:00+05:30,24596.05078125,24736.25,24554.0,24722.75,259300,0.0,0.0
2025-08-05 00:00:00+05:30,24720.25,24733.099609375,24590.30078125,24649.55078125,251800,0.0,0.0
2025-08-06 00:00:00+05:30,24641.349609375,24671.400390625,24539.19921875,24574.19921875,225100,0.0,0.0
2025-08-07 00:00:00+05:30,24464.19921875,24634.19921875,24344.150390625,24596.150390625,616700,0.0,0.0
2025-08-08 00:00:00+05:30,24544.25,24585.5,24337.5,24363.30078125,312600,0.0,0.0
2025-08-11 00:00:00+05:30,24371.5,24600.849609375,24347.44921875,24585.05078125,241100,0.0,0.0
2025-08-12 00:00:00+05:30,24563.349609375,24702.599609375,24465.650390625,24487.400390625,237000,0.0,0.0
2025-08-13 00:00:00+05:30,24586.19921875,24664.55078125,24535.25,24619.349609375,236000,0.0,0.0
2025-08-14 00:00:00+05:30,24607.25,24673.650390625,24596.900390625,24631.30078125,270200,0.0,0.0
2025-08-18 00:00:00+05:30,24938.19921875,25022.0,24852.849609375,24876.94921875,363100,0.0,0.0
2025-08-19 00:00:00+05:30,24891.349609375,25012.650390625,24873.94921875,24980.650390625,252300,0.0,0.0
2025-08-20 00:00:00+05:30,24965.80078125,25088.69921875,24929.69921875,25050.55078125,287100,0.0,0.0
2025-08-21 00:00:00+05:30,25142.0,25153.650390625,25054.900390625,25083.75,226500,0.0,0.0
2025-08-22 00:00:00+05:30,25064.150390625,25084.849609375,24859.150390625,24870.099609375,210200,0.0,0.0
2025-08-25 00:00:00+05:30,24949.150390625,25021.55078125,24894.349609375,24967.75,213000,0.0,0.0
2025-08-26 00:00:00+05:30,24899.5,24919.650390625,24689.599609375,24712.05078125,750500,0.0,0.0
2025-08-28 00:00:00+05:30,24695.80078125,24702.650390625,24481.599609375,24500.900390625,326600,0.0,0.0
2025-08-29 00:00:00+05:30,24466.69921875,24572.44921875,24404.69921875,24426.849609375,325500,0.0,0.0
2025-09-01 00:00:00+05:30,24432.69921875,24635.599609375,24432.69921875,24625.05078125,229300,0.0,0.0
2025-09-02 00:00:00+05:30,24653.0,24756.099609375,24522.349609375,24579.599609375,271600,0.0,0.0
2025-09-03 00:00:00+05:30,24616.5,24737.05078125,24533.19921875,24715.05078125,340300,0.0,0.0
2025-09-04 00:00:00+05:30,24980.75,24980.75,24708.19921875,24734.30078125,314100,0.0,0.0
2025-09-05 00:00:00+05:30,24818.849609375,24832.349609375,24621.599609375,24741.0,210100,0.0,0.0
2025-09-08 00:00:00+05:30,24802.599609375,24885.5,24751.55078125,24773.150390625,213200,0.0,0.0
2025-09-09 00:00:00+05:30,24864.099609375,24891.80078125,24814.0,24868.599609375,226900,0.0,0.0
2025-09-10 00:00:00+05:30,24991.0,25035.69921875,24915.05078125,24973.099609375,244100,0.0,0.0
2025-09-11 00:00:00+05:30,24945.5,25037.30078125,24940.150390625,25005.5,224600,0.0,0.0
2025-09-12 00:00:00+05:30,25074.44921875,25139.44921875,25038.05078125,25114.0,225700,0.0,0.0
2025-09-15 00:00:00+05:30,25118.900390625,25138.44921875,25048.75,25069.19921875,185400,0.0,0.0
2025-09-16 00:00:00+05:30,25073.599609375,25261.400390625,25070.44921875,25239.099609375,240100,0.0,0.0
2025-09-17 00:00:00+05:30,25276.599609375,25346.5,25275.349609375,25330.25,268900,0.0,0.0
2025-09-18 00:00:00+05:30,25441.05078125,25448.94921875,25329.75,25423.599609375,272200,0.0,0.0
2025-09-19 00:00:00+05:30,25410.19921875,25428.75,25286.30078125,25327.05078125,380400,0.0,0.0
2025-09-22 00:00:00+05:30,25238.099609375,25331.69921875,25151.05078125,25202.349609375,254500,0.0,0.0
2025-09-23 00:00:00+05:30,25209.0,25261.900390625,25084.650390625,25169.5,299200,0.0,0.0
2025-09-24 00:00:00+05:30,25108.75,25149.849609375,25027.44921875,25056.900390625,244400,0.0,0.0
2025-09-25 00:00:00+05:30,25034.5,25092.69921875,24878.30078125,24890.849609375,342500,0.0,0.0
2025-09-26 00:00:00+05:30,24818.55078125,24868.599609375,24629.44921875,24654.69921875,291500,0.0,0.0
2025-09-29 00:00:00+05:30,24728.55078125,24791.30078125,24606.19921875,24634.900390625,394400,0.0,0.0
2025-09-30 00:00:00+05:30,24691.94921875,24731.80078125,24587.69921875,24611.099609375,303000,0.0,0.0
2025-10-01 00:00:00+05:30,24620.55078125,24867.94921875,24605.94921875,24836.30078125,308900,0.0,0.0
2025-10-03 00:00:00+05:30,24759.55078125,24904.80078125,24747.55078125,24894.25,365900,0.0,0.0
2025-10-06 00:00:00+05:30,24916.55078125,25095.94921875,24881.650390625,25077.650390625,268800,0.0,0.0
2025-10-07 00:00:00+05:30,25085.30078125,25220.900390625,25076.30078125,25108.30078125,288000,0.0,0.0
2025-10-08 00:00:00+05:30,25079.75,25192.5,25008.5,25046.150390625,227400,0.0,0.0
2025-10-09 00:00:00+05:30,25074.30078125,25199.25,25024.30078125,25181.80078125,286300,0.0,0.0
2025-10-10 00:00:00+05:30,25167.650390625,25330.75,25156.849609375,25285.349609375,232900,0.0,0.0
2025-10-13 00:00:00+05:30,25177.30078125,25267.30078125,25152.30078125,25227.349609375,234300,0.0,0.0
2025-10-14 00:00:00+05:30,25277.55078125,25310.349609375,25060.55078125,25145.5,292100,0.0,0.0
2025-10-15 00:00:00+05:30,25181.94921875,25365.150390625,25159.349609375,25323.55078125,289900,0.0,0.0
2025-10-16 00:00:00+05:30,25394.900390625,25625.400390625,25376.849609375,25585.30078125,372800,0.0,0.0
2025-10-17 00:00:00+05:30,25546.849609375,25781.5,25508.599609375,25709.849609375,422100,0.0,0.0
2025-10-20 00:00:00+05:30,25824.599609375,25926.19921875,25788.5,25843.150390625,301100,0.0,0.0
2025-10-21 00:00:00+05:30,25901.19921875,25934.349609375,25825.80078125,25868.599609375,42500,0.0,0.0
2025-10-23 00:00:00+05:30,26057.19921875,26104.19921875,25862.44921875,25891.400390625,448400,0.0,0.0
2025-10-24 00:00:00+05:30,25935.099609375,25944.150390625,25718.19921875,25795.150390625,284900,0.0,0.0
2025-10-27 00:00:00+05:30,25843.19921875,26005.94921875,25827.0,25966.05078125,266300,0.0,0.0
2025-10-28 00:00:00+05:30,25939.94921875,26041.69921875,25810.05078125,25936.19921875,0,0.0,0.0
