epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0015590738039463758,4.973008632659912,0.0015595792792737484,1.4261746406555176,0.0014441978419199586
0,,1,0.0035347267985343933,,,,,
,0.001,2,,,,,,
1,,3,,0.0009053859394043684,2.8879270553588867,0.0009060179581865668,1.1812608242034912,0.0010591308819130063
1,,3,0.0027388399466872215,,,,,
,0.001,4,,,,,,
2,,5,,0.0008214939734898508,2.620335340499878,0.0008221244206652045,1.1338375806808472,0.0008102231658995152
2,,5,0.002403166377916932,,,,,
