epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0017883299151435494,5.704270362854004,0.0017883919645100832,1.9999886751174927,0.0007769278599880636
0,,1,0.0022433556150645018,,,,,
,0.001,2,,,,,,
1,,3,,0.0013120085932314396,4.184939384460449,0.0013120626099407673,1.9999847412109375,0.0005164240719750524
1,,3,0.0018366619478911161,,,,,
,0.001,4,,,,,,
2,,5,,0.001038872986100614,3.313713312149048,0.0010390912648290396,1.9999808073043823,0.0005691394326277077
2,,5,0.0015920952428132296,,,,,
