epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0011718126479536295,3.7377536296844482,0.0011718618916347623,1.9999828338623047,0.001382409711368382
0,,1,0.0030089789070189,,,,,
,0.001,2,,,,,,
1,,3,,0.0017584320157766342,5.6089043617248535,0.0017584995366632938,1.9999885559082031,0.00108667416498065
1,,3,0.0023510800674557686,,,,,
,0.001,4,,,,,,
2,,5,,0.0019261145498603582,6.143765449523926,0.0019266735762357712,1.9999895095825195,0.0008921378175728023
2,,5,0.0019555268809199333,,,,,
