epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0017111985944211483,5.4582438468933105,0.0017146384343504906,1.999988317489624,0.0009431291255168617
0,,1,0.002697462448850274,,,,,
,0.001,2,,,,,,
1,,3,,0.000559296109713614,1.7839975357055664,0.0005643772310577333,1.9999635219573975,0.0007412818958982825
1,,3,0.002216205233708024,,,,,
,0.001,4,,,,,,
2,,5,,7.762270979583263e-05,0.2475946992635727,8.670380339026451e-05,0.21790151298046112,0.0006442718440666795
2,,5,0.0019142082892358303,,,,,
