epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.002249812940135598,7.176272392272949,0.0022498168982565403,1.5640976428985596,0.0016186500433832407
0,,1,0.0032990651670843363,,,,,
,0.001,2,,,,,,
1,,3,,0.0018942171009257436,6.042020797729492,0.0018942271126434207,1.5026155710220337,0.0011662307661026716
1,,3,0.002724948339164257,,,,,
,0.001,4,,,,,,
2,,5,,0.0016128038987517357,5.144392013549805,0.001612811116501689,1.4401240348815918,0.0008639456355012953
2,,5,0.0022847733926028013,,,,,
