epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0004950847360305488,1.57918119430542,0.0004961578524671495,0.88152015209198,0.0006537121953442693
0,,1,0.002638623584061861,,,,,
,0.001,2,,,,,,
1,,3,,0.00045430101454257965,1.4490928649902344,0.00045515934471040964,1.9999557733535767,0.00038906632107682526
1,,3,0.0022715297527611256,,,,,
,0.001,4,,,,,,
2,,5,,0.0010527506237849593,3.3579790592193604,0.0010531068546697497,1.9999808073043823,0.0004776950227096677
2,,5,0.0019280476262792945,,,,,
