epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,
0,,1,,0.0008204670157283545,2.6170597076416016,0.0008207329083234072,1.999975562095642,0.0005184186738915741
0,,1,0.0027866880409419537,,,,,
,0.001,2,,,,,,
1,,3,,0.0008884118869900703,2.833784580230713,0.0008885998977348208,1.999977469444275,0.00044281320879235864
1,,3,0.0022251890040934086,,,,,
,0.001,4,,,,,,
2,,5,,0.0008307232637889683,2.6497743129730225,0.0008308556280098855,1.9999759197235107,0.0004727558116428554
2,,5,0.0019134213216602802,,,,,
